Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
2085.3826,7.0123143,315.66113,192.9057,310.8183,164.77705,308.43146,102.80535,308.11823,88.309036
2105.0562,0.37357944,315.71173,193.06827,310.80246,164.91087,308.45782,102.80537,308.08493,88.23114
2124.7295,11.883187,315.44635,193.31012,310.73105,165.1114,308.63217,102.93684,308.54404,88.282387
2144.4028,9.7367401,315.68503,193.39821,310.86212,165.21588,308.54056,102.99052,308.28873,88.259308
2164.0764,16.199137,315.8349,193.4025,310.94058,165.23349,308.53308,103.01868,308.24988,88.282944
2183.7498,0.77645332,315.42249,193.45316,310.74887,165.23227,308.59363,103.00923,308.41586,88.262611
2203.4231,10.393898,315.49396,193.30701,310.76395,165.12622,308.53922,102.91939,308.33551,88.215569
2223.0967,5.9811139,315.81699,193.08475,310.87881,164.96286,308.42227,102.83716,308.10901,88.159744
2242.77,14.881367,315.72232,193.04065,310.8692,164.88033,308.431,102.82189,308.04272,88.233559
2262.4434,1.1360909,315.50824,193.01729,310.79132,164.83527,308.68698,102.86716,308.45227,88.356667
2282.1169,11.082669,315.37909,192.99823,310.71472,164.82196,308.79236,102.86251,308.57422,88.434349
2301.7903,4.5494761,315.26859,192.95451,310.63141,164.75946,308.68286,102.80711,308.42365,88.390755
2321.4636,14.938551,315.63965,192.87517,310.80371,164.71809,308.60141,102.78559,308.35269,88.329803
2341.1372,6.3049088,315.94595,192.89371,310.99554,164.73338,308.64227,102.79031,308.27878,88.297523
2360.8105,11.060933,315.64362,192.96089,310.83932,164.83284,308.85675,102.87287,308.60199,88.377678
2380.4839,3.5623176,316.42755,192.5975,311.01788,164.72307,309.27402,103.02243,309.44974,88.529503
2400.1575,12.140982,317.45804,192.43192,311.58636,164.62682,309.3381,102.91256,309.55121,88.352142
2419.8308,10.238217,316.85367,192.78952,311.47696,164.81204,308.76953,102.74024,308.51291,87.945618
2439.5042,1.8328749,316.18658,193.18474,311.10187,165.08279,308.67157,102.77728,308.41766,87.991074
2459.1777,4.2808118,315.86737,193.29428,310.87106,165.22697,308.86694,102.99052,308.87628,88.197746
2478.8511,13.338803,316.36154,193.29686,311.14328,165.24329,308.716,103.01294,308.46991,88.220543
2498.5244,10.280434,315.7561,193.42268,310.94171,165.24091,308.39322,102.94943,308.01306,88.222214
2518.198,3.2116673,315.72375,193.27794,310.82291,165.12654,308.47931,102.916,308.15485,88.206825
2537.8713,15.341896,315.6774,193.13283,310.83389,164.99417,308.77365,102.86543,308.6142,88.267876
2557.5447,3.591419,316.10364,192.85448,311.03372,164.76057,308.76559,102.84146,308.55997,88.258293
2577.2183,8.4098759,315.69208,192.87093,310.95187,164.6721,308.50986,102.74709,308.08517,88.293129
2596.8916,12.048136,315.57852,192.77161,310.81229,164.63162,308.54144,102.80897,308.18573,88.41861
2616.5649,0.57245839,315.39447,192.83553,310.78622,164.62982,308.72818,102.82336,308.51035,88.440834
2636.2385,11.6301,315.60147,192.79178,310.83646,164.62619,308.58929,102.78766,308.34402,88.401794
2655.9119,2.9047348,315.76392,192.81931,310.85532,164.66481,308.41241,102.7564,308.1178,88.257698
