Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
1416.6666,17.866123,344.55859,154.10651,326.35574,144.4646,328.27979,78.512482,344.39105,65.647324
1433.3334,17.892044,344.44452,154.10168,326.23059,144.35475,328.01657,77.987274,344.08887,65.259163
1450,16.336283,344.55289,154.13347,326.3501,144.21457,328.17975,77.452179,344.2063,64.857803
1466.6666,12.93289,343.74533,155.72086,326.32938,144.51128,327.96613,76.40419,343.56976,62.828724
1483.3334,9.3724184,341.32291,158.83705,325.74994,145.17256,326.70068,74.740273,340.9021,58.859329
1500,5.9690261,338.31458,161.82573,324.78766,145.8242,324.94644,73.165909,336.85727,54.578232
1516.6666,2.565634,335.64426,164.19861,324.17404,146.17325,323.47021,71.977753,333.12231,51.211353
1533.3334,0.3043094,333.7323,165.89922,323.86407,146.47102,322.61334,71.321678,330.41763,49.17033
1550,0.27838865,332.75885,166.78294,323.81653,146.69925,322.42145,71.346886,329.38873,48.506195
1566.6666,0.25246793,332.96661,166.97221,323.9335,146.83255,322.82376,71.686142,329.86588,48.675327
1583.3334,0.2265472,332.92697,167.14311,323.94464,146.99451,323.34326,72.043831,330.6481,49.036701
1600,0.20062646,332.21371,167.56749,323.80661,147.25418,323.54062,72.259697,330.67096,49.052357
1616.6666,0.17470573,331.61765,167.9641,323.62289,147.43459,323.44592,72.373871,330.35605,49.017174
1633.3334,0.148785,331.49216,168.11339,323.55148,147.52975,323.45886,72.508049,330.3049,49.017517
1650,0.12286427,331.63593,168.11839,323.70285,147.58037,323.59613,72.593567,330.31616,49.003605
1666.6666,0.096943535,331.62051,168.16631,323.7377,147.59122,323.69803,72.675156,330.33008,49.006889
1683.3334,0.071022801,331.58102,168.157,323.66339,147.5266,323.69675,72.60218,330.32324,48.900238
1700,0.045102071,331.25928,168.16425,323.58139,147.384,323.67706,72.415985,330.1593,48.624691
1716.6666,0.019181341,330.99216,168.18001,323.47668,147.28448,323.57791,72.174606,329.89676,48.345997
1733.3334,1.3927728,330.80582,168.26721,323.27896,147.21431,323.56348,71.959801,329.83765,48.118649
1750,6.1575217,330.42868,168.47354,323.01227,147.21802,323.55731,71.811409,329.93414,48.006477
1766.6666,11.142182,329.96225,168.75821,322.82248,147.28978,323.49728,71.694984,329.84305,47.885147
1783.3334,15.980235,329.89182,168.74095,322.79935,147.25423,323.24704,71.641808,329.44986,47.778877
1800,17.610111,331.46698,167.71977,322.92804,146.97345,323.16626,72.029343,329.39413,48.388939
1816.6666,17.636162,334.91626,165.43687,323.6066,146.34665,323.48593,73.04052,331.89359,50.789497
1833.3334,17.66221,337.76245,162.88412,324.18259,145.83203,324.26248,74.284409,335.07959,53.924164
1850,17.688261,339.25583,160.99353,324.30118,145.48991,324.95465,75.378098,337.39102,56.826473
1866.6666,17.71431,340.11566,159.04878,323.91858,145.18565,325.51035,76.370369,339.34991,59.634571
1883.3334,17.74036,340.70395,157.22461,323.54959,144.82881,325.95825,77.191933,341.10657,62.494411
1900,17.766409,341.14606,155.60201,323.26923,144.50754,326.05869,77.761444,341.86615,64.498825
1916.6666,17.792459,341.67795,154.61954,323.28262,144.41449,325.90997,78.040604,342.18491,65.882156
1933.3334,17.81851,341.89844,154.12982,323.34262,144.3432,325.58261,78.07708,341.77505,66.071159
1950,17.844559,342.14346,153.50104,323.34134,144.22595,325.25714,78.108955,341.59604,66.468353
1966.6666,17.870609,341.92987,153.41615,323.2294,144.20903,325.00693,77.903648,341.32373,66.355492
1983.3334,17.896658,341.57111,153.5685,323.08401,144.2205,324.70712,77.604042,340.83035,65.803192
2000,15.865043,341.79889,153.66756,323.2301,144.2002,324.66141,77.2714,340.81638,65.388527
2016.6666,12.356931,340.71768,155.78571,323.03958,144.75381,324.18179,76.114662,339.73767,62.89917
2033.3334,8.9011793,337.92972,159.2841,322.39755,145.56512,322.47607,74.439812,336.27042,58.378227
2050,5.497787,335.21091,162.23813,321.573,146.15656,320.69958,72.998131,332.3367,54.473877
2066.6667,1.9896754,332.65939,164.68713,321.00928,146.50578,319.44461,71.890839,328.99539,51.349411
2083.3333,0.30113441,330.90002,166.30289,320.85254,146.70657,318.91934,71.323578,326.8129,49.551483
2100,0.27508473,330.38895,166.88754,320.83334,146.82343,319.13394,71.250633,326.73907,49.173767
2116.6667,0.24903505,330.52573,167.07828,320.86035,146.82434,319.57434,71.325249,327.39798,49.202911
2133.3333,0.22298534,330.1207,167.44316,320.80154,146.92435,319.84308,71.412094,327.63712,49.22266
2150,0.19693565,329.43124,167.94064,320.57339,147.16637,319.76099,71.429665,327.2507,49.012295
2166.6667,0.17088597,329.03265,168.32877,320.44281,147.22762,319.56342,71.341881,326.83224,48.829021
2183.3333,0.14483628,329.1348,168.41589,320.53787,147.2616,319.55978,71.259117,326.56546,48.606972
2200,0.11878659,329.46048,168.42564,320.76691,147.26285,319.67838,71.252617,326.58347,48.524673
2216.6667,0.0927369,329.43964,168.53424,320.79907,147.25629,319.81677,71.235634,326.78012,48.503883
2233.3333,0.066687204,329.20966,168.62343,320.65216,147.23021,319.99359,71.20536,326.98416,48.431835
2250,0.040637515,328.73129,168.68456,320.52975,147.183,319.99777,71.088539,326.9548,48.292385
2266.6667,0.014587827,328.43994,168.70212,320.29276,147.08473,319.90677,70.943695,326.7616,48.064438
2283.3333,2.0525072,327.97876,168.77565,319.91306,147.02438,319.80704,70.854347,326.74026,47.970276
2300,7.0371675,327.51553,168.99371,319.68127,147.09659,319.6608,70.791954,326.6716,47.915184
2316.6667,11.801916,327.30548,169.18832,319.68985,147.20155,319.41644,70.820724,326.12329,47.864281
2333.3333,16.786577,327.96439,168.87236,319.8443,147.15598,319.06946,70.938354,325.60596,47.922337
2350,17.614693,329.9617,167.53387,320.21881,146.83488,318.87613,71.516373,325.55765,48.660568
2366.6667,17.640614,333.16394,165.10847,320.96753,146.22729,319.37463,72.649483,328.03308,51.102509
2383.3333,17.666534,335.96234,162.39828,321.52957,145.69826,320.57574,73.980904,331.55423,54.28318
2400,17.692455,337.23972,160.4502,321.71466,145.28979,321.8461,75.133804,334.64951,57.335735
2416.6667,17.718374,338.15387,158.49991,321.52368,144.97449,322.86584,76.169136,337.03741,60.255989
2433.3333,17.744295,338.63846,156.98671,321.28534,144.72281,323.4502,76.929573,338.67371,62.88274
2450,17.770216,339.07141,155.58891,321.12497,144.4776,323.44409,77.310905,339.03653,64.163086
2466.6667,17.796137,339.73187,154.63998,321.34683,144.3437,323.16052,77.496819,339.11615,65.119995
2483.3333,17.822058,340.24088,154.10002,321.59186,144.24611,322.93906,77.544167,338.88193,65.236267
2500,17.847979,340.24866,153.95605,321.55051,144.24315,322.7583,77.50499,338.74112,65.315109
2516.6667,17.873899,339.78137,154.11003,321.22748,144.29071,322.7023,77.366066,338.72299,65.316063
2533.3333,17.89982,339.43774,154.29234,321.04114,144.27838,322.6362,77.17466,338.60754,65.044708
2550,15.393804,339.70212,154.55188,321.28549,144.39053,322.43231,76.708832,338.35587,64.31646
2566.6667,11.833332,338.36697,156.87492,321.13541,144.92241,321.56244,75.449684,336.55334,61.243263
2583.3333,8.3775806,335.52902,160.40471,320.43857,145.70927,319.76956,73.773094,332.79095,56.728672
2600,5.0265484,332.82773,163.2437,319.72537,146.27075,318.09561,72.400673,328.86542,53.041737
2616.6667,1.4660766,330.29395,165.47899,319.07147,146.60384,317.07184,71.407623,325.75861,50.364815
2633.3333,0.29653317,328.74863,166.82339,318.90225,146.78531,316.77618,70.942894,324.45786,49.094597
2650,0.27061245,328.72003,167.12198,318.97873,146.80183,317.21356,70.946312,324.83987,48.950886
2666.6667,0.2446917,328.95282,167.25912,319.10336,146.79469,317.63361,71.022797,325.47699,49.002579
2683.3333,0.21877097,328.62317,167.5961,319.06738,146.92899,317.80777,71.042068,325.54117,48.949802
2700,0.19285025,328.01617,168.10165,318.84949,147.06984,317.63467,70.966988,325.15155,48.753521
2716.6667,0.16692951,327.68658,168.36314,318.71347,147.15166,317.42572,70.893097,324.70752,48.531116
2733.3333,0.14100878,327.75888,168.45131,318.81906,147.10921,317.46402,70.806282,324.54535,48.361111
2750,0.11508805,327.94968,168.54822,318.98648,147.16814,317.67529,70.815216,324.73141,48.333115
2766.6667,0.089167319,327.95663,168.63016,319.00549,147.12175,317.90536,70.840683,325.06564,48.37912
2783.3333,0.063246585,327.76697,168.68146,318.91855,147.12761,318.0372,70.779549,325.20276,48.307034
2800,0.037325852,327.27118,168.79216,318.7533,147.09221,318.0011,70.703682,325.07587,48.125187
2816.6667,0.011405122,326.87656,168.90845,318.59894,147.08762,317.87842,70.561249,324.76563,47.893177
2833.3333,2.7855456,326.86041,168.85637,318.39288,146.98659,317.81348,70.523361,324.66364,47.820606
2850,7.6969018,326.61859,168.93275,318.28363,147.02078,317.80643,70.553459,324.80991,47.86245
2866.6667,12.608258,326.2341,169.12625,318.1384,147.14964,317.63,70.574265,324.52322,47.819454
2883.3333,17.446312,326.18542,169.1447,318.11661,147.16875,317.24451,70.687477,323.92859,47.821785
2900,17.617926,327.54718,168.17754,318.29382,146.9823,316.96591,71.028381,323.6022,48.143604
2916.6667,17.643976,330.48184,165.99399,318.92593,146.40208,317.20032,72.023476,325.19586,50.110897
2933.3333,17.670027,333.59567,163.23462,319.59253,145.76512,318.24966,73.284355,328.62869,53.137711
2950,17.696075,335.34256,161.03191,319.89459,145.30397,319.49292,74.472122,331.85019,56.286995
2966.6667,17.722126,336.16165,159.28799,319.78998,145.00793,320.52341,75.562294,334.31439,59.198254
2983.3333,17.748175,336.81866,157.48643,319.54535,144.70863,321.25769,76.384262,336.2345,61.917858
3000,17.774225,337.37753,156.03645,319.45786,144.44186,321.47742,76.806427,337.03717,63.562073
3016.6667,17.800274,337.85199,155.17999,319.55603,144.32808,321.18497,76.97718,336.97928,64.372551
3033.3333,17.826324,338.18005,154.94473,319.78348,144.31273,320.83646,76.80825,336.57883,64.141304
3050,17.852373,338.07278,155.01097,319.76086,144.31772,320.39709,76.588913,335.9881,63.712013
3066.6667,17.878424,337.83337,155.03477,319.5274,144.33089,320.29858,76.522507,335.95737,63.715729
3083.3333,17.904472,337.53897,155.19609,319.41086,144.35269,320.40302,76.419014,336.04706,63.694355
3100,14.765486,337.61108,155.77403,319.53705,144.49635,320.27939,75.921867,335.85529,62.814068
3116.6667,11.362093,336.04526,158.23663,319.26328,145.08894,319.3067,74.626175,333.96039,59.905472
3133.3333,7.8016219,333.13089,161.57532,318.54431,145.81473,317.45224,72.972992,329.87479,55.391266
3150,4.3982296,330.53473,164.22783,317.92844,146.3598,315.79626,71.68692,325.78619,51.803623
3166.6667,0.9948377,328.59631,166.04341,317.51224,146.63901,314.92975,70.911911,323.15927,49.628235
3183.3333,0.29331952,327.43097,167.05997,317.35526,146.78082,314.84976,70.592148,322.31558,48.773808
3200,0.26726982,327.2836,167.40166,317.4422,146.80368,315.31241,70.648697,322.79538,48.745342
3216.6667,0.24122013,327.28873,167.5172,317.44257,146.77768,315.77692,70.733536,323.5213,48.814919
3233.3333,0.21517044,326.85452,167.84697,317.30545,146.87772,315.90445,70.705521,323.59048,48.748955
3250,0.18912075,326.24237,168.34325,317.12616,147.08212,315.70468,70.669846,323.08527,48.570488
3266.6667,0.16307107,326.08578,168.55577,317.01697,147.1178,315.48593,70.620903,322.60342,48.343399
3283.3333,0.13702138,326.34396,168.66266,317.30743,147.14214,315.53641,70.579376,322.45975,48.163334
3300,0.11097168,326.66391,168.66829,317.50137,147.13777,315.75668,70.598175,322.65326,48.150291
3316.6667,0.084921993,326.6915,168.69713,317.616,147.05513,316.08566,70.581497,323.05511,48.116745
3333.3333,0.058872301,326.53702,168.74889,317.57632,147.03355,316.38394,70.466255,323.36765,48.009483
3350,0.032822609,326.16895,168.86551,317.49063,147.00185,316.51447,70.444237,323.54721,47.950928
3366.6667,0.0067729196,325.68579,168.93588,317.00229,146.98462,316.51675,70.420799,323.5661,47.868523
3383.3333,3.5918877,324.61948,169.22003,316.5329,147.04465,316.52118,70.30513,323.67947,47.831497
3400,8.356636,324.08997,169.39192,316.23224,147.09389,316.31683,70.280548,323.36298,47.709908
3416.6667,13.341297,324.35577,169.3588,316.30054,147.07939,315.94052,70.287888,322.8627,47.652542
3433.3333,17.596548,325.48111,168.83128,316.6778,147.00832,315.34195,70.44146,322.0408,47.735275
3450,17.622469,327.38239,167.48848,317.12228,146.73615,314.91241,71.106293,321.57925,48.46735
3466.6667,17.64839,330.52151,165.01282,317.75406,146.13672,315.25775,72.200844,323.82477,50.889969
3483.3333,17.674311,333.14948,162.23572,318.24792,145.5002,316.5892,73.459763,327.55951,54.116096
3500,17.700232,334.18512,160.31328,318.30246,145.04955,318.00449,74.628738,330.8623,57.272511
3516.6667,17.726151,334.80719,158.41167,317.92822,144.74135,319.00504,75.605476,333.37222,60.259048
3533.3333,17.752071,335.35629,156.76588,317.67197,144.45026,319.61307,76.426491,335.1069,62.99197
3550,17.777992,336.12872,155.08485,317.67935,144.2506,319.56662,76.954445,335.49228,64.749176
3566.6667,17.803913,336.82697,154.03973,317.98987,144.045,319.17691,77.069267,335.30966,65.390457
3583.3333,17.829834,337.19342,153.55191,318.10254,143.989,318.7908,77.007805,334.95197,65.459953
3600,17.855755,336.85718,153.65036,317.89731,143.98853,318.59912,76.850975,334.80035,65.348747
