Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
1956.1946,13.257521,380.64523,161.33235,369.85007,139.87836,364.71478,64.938026,371.15436,43.947086
1972.9142,11.760335,381.29208,160.70908,369.90125,139.67339,364.88565,65.234192,372.15082,44.643917
1989.6338,8.2304325,381.8089,160.31343,369.97723,139.60408,365.08105,65.35437,372.90182,45.019779
2006.3534,9.1084528,381.63916,160.47791,370.09033,139.61623,365.20273,65.264587,372.67395,44.823517
2023.0731,11.472827,381.64682,160.44083,370.10809,139.61586,365.4314,65.199486,373.14102,44.832809
2039.7927,7.1993012,381.60498,160.42201,370.07959,139.55121,365.60941,65.11982,373.39676,44.744061
2056.5122,13.410755,381.45239,160.4489,370.07028,139.52602,365.5687,64.967972,373.07947,44.464211
2073.2319,11.143698,381.48755,160.36923,370.08655,139.48289,365.57278,64.906929,373.2218,44.475201
2089.9514,9.7040462,381.56207,160.28836,370.13251,139.40625,365.55875,64.831886,373.2168,44.370434
2106.6711,6.4212241,381.60056,160.22292,370.18256,139.36969,365.54562,64.741219,373.10538,44.278996
2123.3906,8.7629547,381.58289,160.20483,370.15021,139.36163,365.49738,64.733765,373.13388,44.279491
2140.1104,9.7273989,381.52658,160.20062,370.10745,139.3681,365.40585,64.699829,372.94846,44.210789
2156.8301,6.9466929,381.67987,160.12106,370.1651,139.342,365.36639,64.690079,372.862,44.167984
2173.5496,14.009366,381.77756,160.11852,370.23907,139.33981,365.30658,64.700943,372.81561,44.169888
2190.2693,7.3315663,381.7861,160.16754,370.267,139.40294,365.23581,64.727127,372.68268,44.137051
2206.9888,13.440714,381.77274,160.1913,370.25195,139.42133,365.14603,64.746155,372.45404,44.135677
2223.7085,13.612845,381.77689,160.30803,370.25,139.46774,365.14139,64.757736,372.47656,44.152302
2240.428,0.76596171,381.19266,161.21628,370.31378,139.71161,364.93188,64.459122,371.71927,43.500092
2257.1477,1.1704514,379.59454,162.60876,370.12192,140.09903,364.46808,64.035896,369.47055,42.369522
2273.8672,5.7291842,378.28256,163.62654,369.83133,140.31943,364.19141,63.754322,368.43216,41.713017
2290.5869,12.736814,377.61502,163.88446,369.38718,140.36751,363.92703,63.560448,367.95163,41.427322
2307.3064,9.6816683,377.04337,163.96904,369.06244,140.35345,363.74881,63.546631,367.39072,41.341419
2324.0261,7.4713073,377.54095,163.37251,369.03348,140.16951,364.01871,63.820827,368.19748,41.849522
2340.7456,12.783738,379.44562,161.90233,369.22571,139.74303,364.78119,64.446564,370.8082,43.184624
