Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y,Markers from bottom to top
1833.3334,18.58326258,381.58154,139.08324,363.59247,127.35411,364.00348,55.604145,380.0499,42.620647,
1850,18.59371365,382.74442,137.22226,364.06992,127.01545,364.6626,56.187363,381.20483,44.519379,
1866.6666,18.60416472,383.2601,136.16682,364.3136,126.91856,364.97046,56.599747,381.69385,45.687374,
1883.3334,18.61461579,383.45081,135.23709,364.28894,126.89503,365.04745,56.980289,381.96234,46.895504,
1900,18.62506687,383.35501,134.80035,364.11386,126.99364,365.19623,57.295971,382.2735,47.836044,
1916.6666,18.63551794,383.02557,135.01186,363.8681,127.23656,365.16595,57.483719,382.28937,48.181934,
1933.3334,18.64596901,382.89182,135.1924,363.76898,127.51561,365.04657,57.659966,382.18024,48.472797,
1950,18.65642009,382.84741,135.33456,363.69101,127.73003,364.85757,57.793999,382.01682,48.555069,
1966.6666,18.66687116,382.82907,135.45772,363.65787,127.92985,364.69165,57.903809,381.836,48.594215,
1983.3334,18.67732223,382.72278,135.63298,363.57031,128.12088,364.56912,58.060799,381.77258,48.732052,
2000,18.68777331,382.61621,135.84157,363.46884,128.28941,364.5134,58.155746,381.71991,48.812397,
2016.6666,18.69822438,382.58319,135.94859,363.43457,128.39882,364.45435,58.187599,381.66891,48.862217,
2033.3334,18.70867545,382.53671,136.00063,363.41672,128.47427,364.41919,58.255272,381.6301,48.890556,
2050,18.71912653,382.50723,136.03447,363.40048,128.47833,364.38635,58.186749,381.6062,48.836456,
2066.6667,18.7295776,382.44049,135.99815,363.38187,128.42303,364.38922,58.050243,381.59213,48.700718,
2083.3333,18.74002867,382.42258,135.91245,363.37897,128.34578,364.40536,57.901474,381.58463,48.576496,
2100,18.75047975,382.42844,135.80275,363.43124,128.24626,364.40497,57.698174,381.57791,48.403835,
2116.6667,18.76093082,382.41333,135.67422,363.43787,128.09729,364.42419,57.490997,381.57755,48.247616,
2133.3333,18.77138189,382.38873,135.54623,363.4393,127.94603,364.4223,57.291779,381.55231,48.02599,
2150,18.78183297,382.34744,135.4209,363.4519,127.77946,364.41989,57.032269,381.50836,47.830231,
2166.6667,18.79228404,382.36508,135.3065,363.46024,127.65757,364.38431,56.829384,381.44446,47.653793,
2183.3333,18.80273511,382.37961,135.19914,363.44034,127.55095,364.32065,56.643177,381.34534,47.489311,
2200,18.81318619,382.44983,135.09137,363.52777,127.47246,364.19931,56.477894,381.23669,47.263855,
2216.6667,18.82363726,382.685,135.90244,363.78885,127.57803,363.8949,55.854839,380.81348,46.025166,
2233.3333,18.83408833,381.08893,139.31602,363.5376,128.26222,362.60483,54.338055,378.62454,42.22789,
2250,18.8445394,378.70694,142.66971,362.75034,129.02544,360.43915,52.890015,374.78723,37.970337,
2266.6667,17.01696021,376.92624,145.39693,362.1958,129.53326,358.84421,51.857132,371.89621,35.053635,
2283.3333,13.2994089,375.06427,148.00067,361.87991,130.01987,357.63586,51.034496,368.94293,32.416962,
2300,9.738937226,373.42465,149.98584,361.61581,130.46744,356.93527,50.658764,366.77011,30.730795,
2316.6667,6.021385919,372.64496,150.87888,361.45343,130.60587,356.95682,50.638638,366.44116,30.278984,
2333.3333,2.303834613,372.4136,151.27768,361.32489,130.62674,357.24298,50.639439,366.7706,30.202394,
2350,0.3097698142,371.83066,151.74638,361.17841,130.78214,357.36432,50.648689,366.74866,30.053429,
2366.6667,0.2993187408,371.12982,152.23312,360.93723,130.92209,357.2619,50.626354,366.44864,29.814259,
2383.3333,0.2888676675,370.84564,152.42778,360.83536,130.91969,357.18219,50.484623,366.08524,29.506189,
2400,0.2784165941,370.87256,152.48042,360.92752,130.85226,357.23776,50.324356,365.98853,29.259153,
2416.6667,0.2679655208,370.93848,152.50195,361.04221,130.72615,357.29053,50.205139,366.00961,29.133356,
2433.3333,0.2575144474,370.93433,152.57498,361.12354,130.64812,357.35165,50.10347,365.91141,28.929699,
2450,0.2470633741,370.92365,152.61378,361.16687,130.59595,357.34204,49.977573,365.74966,28.729029,
2466.6667,0.2366123007,370.7554,152.69731,361.18823,130.55688,357.38654,49.874115,365.63651,28.563417,
2483.3333,0.2261612274,370.56375,152.76704,361.12711,130.49562,357.4209,49.759834,365.61542,28.412537,
2500,0.215710154,370.43423,152.85712,361.09738,130.41801,357.4469,49.631428,365.54733,28.249565,
2516.6667,0.2052590807,370.44492,152.87885,361.16046,130.35381,357.38583,49.54018,365.35992,28.071173,
2533.3333,0.1948080073,370.49869,152.90718,361.21439,130.33824,357.28226,49.491566,365.12299,27.964897,
2550,0.184356934,370.48459,153.00769,361.22537,130.33902,357.27042,49.485897,365.03094,27.940727,
2566.6667,0.1739058606,370.38702,153.13246,361.18054,130.37859,357.2753,49.526669,365.00055,27.922209,
2583.3333,0.1634547872,370.25763,153.25319,361.12921,130.42819,357.26276,49.547283,364.99481,27.923431,
2600,0.1530037139,370.13019,153.38399,361.09622,130.47044,357.20908,49.534149,364.84686,27.906788,
2616.6667,0.1425526405,370.08026,153.48482,361.0925,130.52251,357.12933,49.582355,364.67691,27.889503,
2633.3333,0.1321015672,370.13492,153.56755,361.1048,130.56387,357.05957,49.635319,364.53519,27.888687,
2650,0.1216504938,370.15479,153.65579,361.11447,130.61613,357.06015,49.689304,364.50421,27.924299,
2666.6667,0.1111994205,370.0936,153.7686,361.16528,130.66774,357.08694,49.713093,364.43787,27.905828,
2683.3333,0.1007483471,369.97574,153.84764,361.15277,130.6813,357.08075,49.751408,364.41559,27.922535,
2700,0.09029727377,369.86563,153.92609,361.11697,130.71936,357.09128,49.744789,364.3338,27.886889,
2716.6667,0.07984620042,369.84525,153.98752,361.12677,130.69641,357.09131,49.712418,364.29425,27.824888,
2733.3333,0.06939512707,369.84369,154.00929,361.14642,130.6996,357.12555,49.70105,364.2435,27.773315,
2750,0.05894405371,369.84714,154.04723,361.19131,130.67915,357.16519,49.663578,364.20255,27.702774,
2766.6667,0.04849298036,369.80914,154.03326,361.17676,130.61798,357.19803,49.627155,364.17938,27.648455,
2783.3333,0.03804190701,369.64993,154.07062,361.06738,130.58485,357.23669,49.5513,364.20618,27.539957,
2800,0.02759083365,369.24008,154.16039,360.92258,130.56085,357.36279,49.476475,364.35919,27.458744,
2816.6667,0.0171397603,368.9848,154.22743,360.75284,130.5443,357.40518,49.419754,364.42487,27.385944,
2833.3333,0.006688686946,368.86441,154.25037,360.75598,130.50061,357.43393,49.355129,364.46399,27.305332,
2850,1.256637061,368.90494,154.22725,360.73819,130.45271,357.43207,49.29155,364.3714,27.209726,
2866.6667,4.974188368,369.16446,154.02652,360.87704,130.35893,357.29669,49.238369,364.15063,27.11862,
2883.3333,8.58701992,370.24301,153.16888,361.0528,130.0773,357.27994,49.41058,364.08505,27.315136,
2900,12.25221135,372.51056,151.55119,361.65891,129.53181,357.78854,50.091667,365.64349,28.60121,
2916.6667,15.91740278,375.56833,149.00316,362.54465,128.89064,358.9166,50.999928,368.7204,30.728594,
2933.3333,18.53873434,377.97955,146.53987,363.20834,128.30403,360.16495,51.958321,371.80176,33.21146,
2950,18.5491646,379.26947,144.47891,363.44638,127.90344,361.2301,52.880928,374.26682,35.622055,
2966.6667,18.55959485,380.00797,142.53426,363.392,127.56465,362.10495,53.640789,376.41681,37.99268,
2983.3333,18.5700251,380.6749,140.81609,363.34052,127.30006,362.862,54.314068,378.04321,40.049919,
3000,18.58045536,381.40869,139.11903,363.44781,127.08217,363.5386,55.071888,379.40134,42.13063,
3016.6667,18.59088561,382.5293,137.24767,363.88031,126.83067,364.23303,55.779079,380.66702,44.082737,
3033.3333,18.60131587,383.06668,136.28264,364.15402,126.8304,364.71042,56.328392,381.3894,45.459293,
3050,18.61174612,383.32721,135.40569,364.21765,126.85445,364.92368,56.839333,381.8252,46.748405,
3066.6667,18.62217638,383.22693,134.97409,364.02744,127.08303,365.03073,57.244705,382.07681,47.655083,
3083.3333,18.63260663,382.8555,135.2319,363.75232,127.36156,364.98019,57.484116,382.08575,48.062843,
3100,18.64303688,382.68338,135.45741,363.65134,127.72466,364.92563,57.788342,382.09851,48.437885,
3116.6667,18.65346714,382.63321,135.58093,363.59296,127.97278,364.86209,58.07217,382.0603,48.672523,
3133.3333,18.66389739,382.60043,135.74884,363.57932,128.21713,364.7243,58.272446,381.91229,48.758911,
3150,18.67432765,382.50394,135.90973,363.478,128.44618,364.59402,58.449169,381.81464,48.908184,
3166.6667,18.6847579,382.35696,136.09625,363.39063,128.61282,364.54938,58.55809,381.79492,48.992344,
3183.3333,18.69518816,382.31808,136.19598,363.33969,128.70384,364.49741,58.677197,381.80536,49.091202,
3200,18.70561841,382.26703,136.22188,363.33151,128.79408,364.48004,58.692726,381.76215,49.051388,
3216.6667,18.71604866,382.22134,136.19841,363.31854,128.79646,364.50122,58.641991,381.77344,49.036488,
3233.3333,18.72647892,382.16995,136.14714,363.29785,128.70769,364.50845,58.501732,381.76144,48.890713,
3250,18.73690917,382.14294,136.05879,363.28528,128.64635,364.51389,58.317825,381.77335,48.699516,
3266.6667,18.74733943,382.12488,135.90492,363.29968,128.48524,364.52106,58.081898,381.75845,48.523537,
3283.3333,18.75776968,382.10846,135.7496,363.33002,128.31241,364.54294,57.853889,381.75607,48.286194,
3300,18.76819994,382.1178,135.59172,363.36066,128.17639,364.53943,57.61203,381.72443,48.092888,
3316.6667,18.77863019,382.12354,135.44119,363.33649,127.98256,364.51831,57.37009,381.66644,47.893337,
3333.3333,18.78906044,382.0741,135.29991,363.32437,127.85856,364.42041,57.129063,381.59683,47.653912,
3350,18.7994907,382.10895,135.1722,363.31381,127.70667,364.34644,56.934559,381.46954,47.456841,
3366.6667,18.80992095,382.25797,135.10065,363.47626,127.60278,364.18353,56.677681,381.30563,47.153908,
3383.3333,18.82035121,382.28662,136.16701,363.68912,127.81181,363.77118,55.971512,380.65945,45.58252,
3400,18.83078146,380.69003,139.41914,363.37402,128.47931,362.34601,54.431152,378.33057,41.826714,
3416.6667,18.84121172,378.36542,142.74619,362.61667,129.19902,360.33051,53.100021,374.6524,37.814476,
3433.3333,18.11651764,376.48734,145.49065,362.08405,129.6752,358.81647,51.999371,371.80289,34.776958,
3450,14.45132621,374.64795,147.95792,361.70184,130.14339,357.65445,51.159294,368.84787,32.163918,
3466.6667,10.78613478,373.01028,149.97701,361.46881,130.57141,357.04153,50.870735,366.95178,30.75922,
3483.3333,7.120943348,372.35999,150.8559,361.35056,130.71469,357.08615,50.861591,366.70404,30.422199,
3500,3.455751919,372.14056,151.21301,361.26709,130.75594,357.37146,50.925148,367.0827,30.419268,
3516.6667,0.3124904243,371.66104,151.65665,361.12378,130.88141,357.48978,50.947594,367.08197,30.300196,
3533.3333,0.3020601698,370.94061,152.16692,360.90921,130.99538,357.34689,50.875565,366.67548,30.037279,
3550,0.2916299153,370.65753,152.41495,360.79993,130.99556,357.21686,50.699444,366.21323,29.659454,
3566.6667,0.2811996608,370.73792,152.48596,360.91129,130.97525,357.28168,50.6092,366.1235,29.476091,
3583.3333,0.2707694064,370.82639,152.53122,361.06058,130.90602,357.41528,50.500137,366.20868,29.347412,
3600,0.2603391519,370.90485,152.57285,361.19101,130.83676,357.49542,50.386814,366.13739,29.142481,
3616.6667,0.2499088974,370.87799,152.61832,361.19458,130.74026,357.48557,50.275909,366.00464,28.977182,
3633.3333,0.2394786429,370.647,152.74295,361.18204,130.73085,357.44888,50.120022,365.8588,28.770906,
3650,0.2290483884,370.40292,152.85956,361.10144,130.67317,357.51218,49.998081,365.79166,28.597795,
3666.6667,0.2186181339,370.26035,152.93968,361.08682,130.61334,357.50586,49.906017,365.77399,28.468655,
3683.3333,0.2081878795,370.3624,152.93442,361.15146,130.55461,357.51685,49.75375,365.68268,28.298933,
3700,0.197757625,370.47385,152.93767,361.22754,130.46387,357.43225,49.697971,365.48987,28.191195,
3716.6667,0.1873273705,370.45343,152.97235,361.23505,130.44499,357.36447,49.662262,365.30441,28.109158,
3733.3333,0.176897116,370.29868,153.09467,361.16678,130.46266,357.32941,49.624836,365.1893,28.017778,
3750,0.1664668615,370.13843,153.19734,361.11679,130.47917,357.29453,49.6208,365.15079,28.030331,
3766.6667,0.1560366071,370.0538,153.26698,361.08383,130.50706,357.2851,49.645901,365.08588,27.994608,
3783.3333,0.1456063526,370.03278,153.34303,361.07968,130.51535,357.21887,49.621086,364.97037,27.936073,
3800,0.1351760981,370.04373,153.39685,361.09067,130.52296,357.17697,49.640751,364.82523,27.896851,
3816.6667,0.1247458436,370.01779,153.43294,361.0639,130.53767,357.12735,49.681923,364.71393,27.882343,
3833.3333,0.1143155891,369.93042,153.53291,361.07465,130.5834,357.16217,49.700142,364.6803,27.880241,
3850,0.1038853346,369.78635,153.61656,361.05511,130.6237,357.19714,49.752483,364.68561,27.84973,
3866.6667,0.09345508016,369.72089,153.67616,361.02786,130.70181,357.22998,49.777794,364.71552,27.860807,
3883.3333,0.08302482568,369.66452,153.7159,361.05878,130.70358,357.25516,49.766598,364.65387,27.793947,
3900,0.0725945712,369.67673,153.73096,361.07623,130.70636,357.25412,49.796532,364.58835,27.753866,
3916.6667,0.06216431671,369.63263,153.76006,361.0712,130.73239,357.2587,49.79126,364.53503,27.688887,
3933.3333,0.05173406223,369.54688,153.82098,361.06366,130.77638,357.27322,49.796032,364.53012,27.670206,
